android.sensor.accelerometer#std,android.sensor.linear_acceleration#mean,android.sensor.gyroscope#mean,speed#min,speed#mean,speed#max,android.sensor.linear_acceleration#max,android.sensor.magnetic_field#mean,android.sensor.linear_acceleration#min,android.sensor.light#max,android.sensor.gyroscope#max,android.sensor.magnetic_field#min,android.sensor.light#mean,android.sensor.magnetic_field#max,android.sensor.light#min,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,sound#min,android.sensor.magnetic_field_uncalibrated#min,android.sensor.magnetic_field_uncalibrated#mean,sound#mean,android.sensor.magnetic_field_uncalibrated#max,sound#max,android.sensor.gravity#max,android.sensor.pressure#max,android.sensor.pressure#min,android.sensor.gravity#mean,android.sensor.game_rotation_vector#std,android.sensor.gravity#min,android.sensor.gravity#std,android.sensor.rotation_vector#mean,activityrecognition#1,android.sensor.linear_acceleration#std,android.sensor.accelerometer#mean,android.sensor.pressure#mean,android.sensor.magnetic_field#std,android.sensor.gyroscope_uncalibrated#max,android.sensor.step_counter#min,android.sensor.step_counter#mean,android.sensor.gyroscope_uncalibrated#min,android.sensor.rotation_vector#min,android.sensor.gyroscope#min,android.sensor.game_rotation_vector#mean,target
0.014625507,0.020977838,0.001650775,0.0,0.0,0.0,0.052409582,57.0996379,0.002495366,0.0,0.003533083,56.69038719,0.0,57.57595014,0.0,0.000736964,0.01622136,9.758895473,9.849410956,78.45165828883567,51.19970725,51.3635659,78.72485504254868,51.53920838,78.99721252769464,9.806651013,1004.1279,1004.0554,9.80665015,0.000118701,9.806649082,4.78e-07,0.05041314,100,0.011044687,9.811476292,1004.090261,0.177548772,0.018695316,28966.0,28966.0,0.014172422,0.044777159,0.0,0.02934047,2
1.775944297,0.879220183,0.036325714,16.539349,16.539349,16.539349,1.185809922,29.35128754,0.641116953,0.0,0.059387896,28.17250517,0.0,30.38601652,0.0,0.0202897,0.039022539,7.707437422,17.14663119,89.06514335,82.40989018,82.76776018,89.20021019,83.12563018,89.33527703,9.806623952,1008.27466,1008.27466,9.806623952,3.01e-05,9.806623952,6.47e-07,0.999981229,100,0.278729993,9.939206783,1008.27466,0.92154709,0.085493695,10112.205783456624,10112.523522718226,0.01413233,0.999963054,0.011669388,0.999924606,1
0.011199106,0.034110231,0.001524617,0.0,0.0,0.0,0.042511326,29.90492699,0.025709137,2.0,0.002609354,29.74172154,2.0,30.03830887,2.0,0.000712701,0.016301566,9.804817127,9.849262113,78.45165828883567,55.50180177,55.69571638,78.72485504254868,55.86850633,78.99721252769464,9.806650424,1005.97754,1005.97754,9.806650224,3.97e-06,9.806650024,2.82e-07,0.610456221,100,0.011880942,9.827177836,1005.97754,0.130851299,0.017373938,10112.205783456624,10112.523522718226,0.014644966,0.610456221,0.0,0.665215407,2
0.862553258,1.48836058,0.036440315,17.739895,17.739895,17.739895,2.415878964,37.83647061,0.575910313,0.0,0.052512245,37.52572451,0.0,38.14721671,0.0,0.010552773,0.050758745,7.659673729,12.30429759,87.4703771,95.66430914,95.74382063,87.4703771,95.82333212,87.4703771,9.806637644,1006.95044,1006.95044,9.806637644,0.003450706,9.806637644,2.12e-06,0.998112317,77,0.920076869,9.673039113,1006.95044,0.439461346,0.081886899,10112.205783456624,10112.523522718226,0.024731578,0.998112317,0.020463062,0.996220934,1
0.50411706,1.658307502,0.183202098,9.0,9.0,9.0,2.79599532,78.37571835,0.379803006,30.0,0.380875067,76.54326061,30.0,79.27373943,30.0,0.098819138,0.265652185,8.965620961,10.89164512,89.77073232,156.7959091,157.4292175,89.77073232,158.062526,89.77073232,9.806650531,1016.2188160375391,1016.1891426016684,9.806650156,0.064792132,9.806649662,2.64e-07,0.322241915,100,1.12222546,9.993466321,1016.2031394793013,1.10436115,0.313019733,10112.205783456624,10112.523522718226,0.141208499,0.308054844,0.020666857,0.563791884,1
0.103856563,1.3159705831263195,0.31253628333133576,0.0,0.0,0.0,2.1575919730844597,56.21250772925611,0.863086307595666,34.0,0.7350416003926156,54.26780495101297,33.5,58.20710912883278,33.0,0.18990341907912608,0.31280685696505695,9.149029238,9.520043907,57.36112724,136.95589564102863,138.40906591391834,57.36112724,139.907247660583,57.36112724,9.806591519407524,1016.2188160375391,1016.1891426016684,9.806560747614345,0.011875942305517377,9.806529526668273,0.00012203942,0.7659315870879737,100,0.6027711069877095,9.330481711,1016.2031394793013,1.7729416747154003,0.6149611913767177,10112.205783456624,10112.523522718226,0.12542673854240283,0.7502729484673241,0.08949412389580515,0.7592804100270907,1
0.013488593,0.027440834,0.004099865,8.21674664822017,8.235253551705396,8.25352779037074,0.031900714,113.6433421,0.023156696,45.0,0.00657922,113.1907249,45.0,114.0116222,45.0,0.001801123,0.042990844,9.758750712,9.816196876,65.15836901,170.521377,170.8026218,65.15836901,170.9920758,65.15836901,9.806649754,1036.95,1036.919,9.806649754,4.22e-05,9.806649754,3.43e-07,0.201198417,100,0.003641547,9.789771293,1036.9332,0.1934329,0.044151656,10112.205783456624,10112.523522718226,0.041700226,0.201079137,0.002731872,0.295890065,3
1.044684104,1.003519754,0.140902237,7.5873494,7.797239267,8.146695,4.401256662,26.3738354,0.041030953,11.0,0.690413822,25.82131039,6.814814815,27.06787801,3.0,0.119666966,0.142145209,6.431645697,14.20260333,78.45165828883567,58.64691126,59.47877667,78.72485504254868,60.97622487,78.99721252769464,9.806647738,1007.8657,1007.7224,9.806632689,0.007095992,9.806615292,5.48e-06,0.929186733,100,0.739564646,9.906011476,1007.78348,0.352850585,0.680812351,12987.0,12992.25,0.006821021,0.9140702,0.006566731,0.700760401,0
0.255052885,0.27899686,0.041554064,4.75,4.75,4.75,0.374630842,36.27580196,0.157357566,4.0,0.123026208,35.42926921,2.5,37.58219731,1.0,0.030074237,0.065754016,8.996134055,10.02780194,89.80844083,134.6115174,135.9551797,89.80844083,136.7693067,89.80844083,9.806650388,1016.2188160375391,1016.1891426016684,9.806650102,0.004930357,9.806649587,2.16e-07,0.780795204,100,0.084821277,9.639711442,1016.2031394793013,0.950412143,0.116849852,10112.205783456624,10112.523522718226,0.039603879,0.774057911,0.008014424,0.969449683,0
0.267790552,0.255171829,0.037450782,8.21674664822017,8.235253551705396,8.25352779037074,0.345489805,100.9656963,0.158721899,48.0,0.084820304,100.5255321,48.0,101.2429611,48.0,0.021390824,0.030491147,9.014786483,10.06852813,89.81573848,140.1742231,140.1742231,89.81573848,140.1742231,89.81573848,9.806650729,1016.2188160375391,1016.1891426016684,9.806650224,0.001528964,9.806649708,3.34e-07,0.96808205,69,0.076332631,9.602108563,1016.2031394793013,0.385458472,0.039108119,10112.205783456624,10112.523522718226,0.021024574,0.967066421,0.00717439,0.896536138,3
0.114261228,0.071747333,0.131283457,0.0,0.0,0.0,0.071747333,47.16911149,0.071747333,135.0,0.131283457,46.55616568,135.0,47.7820573,135.0,0.003330783,0.067150734,9.554662882,10.3433459,70.57062121,236.9326859,236.9326859,70.57062121,236.9326859,70.57062121,9.806559054,1016.2188160375391,1016.1891426016684,9.806559054,0.005568776,9.806559054,1.32e-05,0.999972633,100,0.28983415,9.864564603,1016.2031394793013,0.866836281,0.067150734,9242.0,9242.0,0.067150734,0.999952701,0.131283457,0.783412281,2
0.317446077,0.411267163,0.022525384,8.21674664822017,8.235253551705396,8.25352779037074,1.126611434,98.01576207,0.180851619,89.0,0.058538724,92.43790541,88.0,103.8126323,87.0,0.013113601,0.04490858,8.90104806,10.01336463,89.79213933,138.8889849,138.8889849,89.79213933,138.8889849,89.79213933,9.806650578,1016.2188160375391,1016.1891426016684,9.806649975,8.25e-05,9.806649242,3.56e-07,0.989397875,23,0.35382937,9.446526844,1016.2031394793013,4.212702369,0.072205271,10112.205783456624,10112.523522718226,0.02881993,0.989045802,0.005361722,0.998855983,3
2.508426729,0.39853954,0.296977565,6.965024,6.965024,6.965024,0.39853954,83.2924911,0.39853954,1.0,0.770731878,83.11630544,1.0,83.46867676,1.0,0.231980726,0.334016276,3.758711875,13.72480981,85.03130447,105.6775284,105.6775284,85.03130447,105.6775284,85.03130447,9.806641093,1021.45215,1021.45215,9.80663777,0.00328833,9.806634446,4.7e-06,0.578431444,100,0.6027711069877095,9.365727324,1021.45215,0.249164148,0.790935754,10112.205783456624,10112.523522718226,0.057652363,0.578431444,0.049531932,0.69353597,1
0.145971591,0.534977246,0.017878648,9.5,9.5,9.5,0.725922695,53.63998868,0.225468109,8.0,0.057902512,52.75696491,4.5,54.83120255,1.0,0.012215627,0.03350592,9.608102271,10.20423155,89.70846558,156.7519216,156.9362095,89.76378507,157.1204974,89.81910456,9.806650496,1016.2188160375391,1016.1891426016684,9.80665013,0.001951304,9.806649938,1.79e-07,0.329745121,100,0.270474969,9.932077713,1016.2031394793013,0.798738033,0.036579279,10112.205783456624,10112.523522718226,0.031193911,0.305658527,0.004633901,0.301756901,1
0.389263437,1.36007825,0.029334805,2.6472714,2.6472714,2.6472714,1.36007825,44.63339557,1.36007825,331.6980653220726,0.030543262,44.63339557,288.82554488125294,44.63339557,254.14086103309742,0.001709016,0.102843298,8.522106239,11.36447368,78.50624183,164.1699829,164.1699829,78.50624183,164.1699829,78.50624183,9.806644752,1016.2188160375391,1016.1891426016684,9.806644752,0.023991213,9.806644752,0.00012203942,0.964534722,100,0.480023451,9.826201015,1016.2031394793013,0.250899423,0.102843298,10112.205783456624,10112.523522718226,0.102843298,0.964534722,0.028126348,0.414550152,0
